# SNAP pin export table
#
# Product:	Subset_S1A_IW_GRDH_1SDV_20190208T182602_20190208T182631_025842_02E01C_899E_Orb_NR_Cal_Spk_TC
# Created on:	Thu Feb 13 02:03:13 SGT 2020

Name	X	Y	Lon	Lat	Color	Label	Desc
UPPER_LEFT_BOUND	0.06146356006138376	0.07868232380133122	-1.842238337872615	6.25742125404752	java.awt.Color[r=0,g=0,b=0]	UPPER_LEFT_BOUND	
LOWER_LEFT_BOUND	0.005991393314616289	1673.9967875229195	-1.842243321022138	6.107050632221044	java.awt.Color[r=0,g=0,b=0]	LOWER_LEFT_BOUND	
UPPER_RIGHT_BOUND	2488.3328282455223	12.468237665336346	-1.618713118079226	6.256308281354845	java.awt.Color[r=0,g=0,b=0]	UPPER_RIGHT_BOUND	
LOWER_RIGHT_BOUND	2490.1194615995664	1669.6049839866464	-1.6185526220743205	6.107445154645192	java.awt.Color[r=0,g=0,b=0]	LOWER_RIGHT_BOUND	
forest_1_TL	214.48825491086973	279.3611770206917	-1.822976051473101	6.232332880690195	java.awt.Color[r=0,g=255,b=0]	forest_1_TL	
forest_1_BR	369.1828333920821	383.32661331088457	-1.809079601051091	6.222993506646231	java.awt.Color[r=0,g=255,b=0]	forest_1_BR	
forest_2_TL	18.91331926618659	677.682428007276	-1.840544846861132	6.196551073915109	java.awt.Color[r=0,g=255,b=0]	forest_2_TL	
forest_2_BR	133.8592226004148	790.0608850604185	-1.830219080679926	6.186455945357449	java.awt.Color[r=0,g=255,b=0]	forest_2_BR	
forest_3_TL	13.209625187952042	1147.8652845942997	-1.8410572184177743	6.154313829274799	java.awt.Color[r=0,g=255,b=0]	forest_3_TL	
forest_3_BR	74.34850798045954	1239.807518331494	-1.835565019131124	6.146054517892578	java.awt.Color[r=0,g=255,b=0]	forest_3_BR	
forest_4_TL	474.2555278384352	1501.0249596821377	-1.7996407603146132	6.12258895588819	java.awt.Color[r=0,g=255,b=0]	forest_4_TL	
forest_4_BR	557.4931974626015	1591.481890648618	-1.7921633932308252	6.114463071524017	java.awt.Color[r=0,g=255,b=0]	forest_4_BR	
forest_5_TL	1633.9407476942652	1336.681976887936	-1.695464464538213	6.137352137216372	java.awt.Color[r=0,g=255,b=0]	forest_5_TL	
forest_5_BR	1794.427538049389	1436.9363748097676	-1.681047690870684	6.128346131421035	java.awt.Color[r=0,g=255,b=0]	forest_5_BR	
forest_6_TL	1160.8990450481142	1039.5471681707568	-1.7379585236895092	6.1640442112278295	java.awt.Color[r=0,g=255,b=0]	forest_6_TL	
forest_6_BR	1257.887065822957	1128.8885216874478	-1.729245941545655	6.156018540891033	java.awt.Color[r=0,g=255,b=0]	forest_6_BR	
forest_7_TL	1159.9170787304392	1467.9724729452282	-1.738046735224675	6.125558111289583	java.awt.Color[r=0,g=255,b=0]	forest_7_TL	
forest_7_BR	1298.3128609551313	1581.887797995325	-1.7256144305816632	6.115324923530788	java.awt.Color[r=0,g=255,b=0]	forest_7_BR	
water_1_TL	1522.8835697954491	993.8370132232958	-1.705440900569982	6.168150424310707	java.awt.Color[r=0,g=0,b=255]	water_1_TL	
