# SNAP pin export table
#
# Product:	Collocated_S1A_20190917T092852_S2_20190922T141049_uint8scale
# Created on:	Mon Mar 23 20:13:02 SGT 2020

Name	X	Y	Lon	Lat	Color	Label	Desc
asm_1_TL	2361.8321985436633	2620.9679339333306	-55.23200052912769	5.006216848194696	java.awt.Color[r=0,g=0,b=0]	asm_1_TL	
asm_1_BR	2404.1709002263233	2639.5182740961754	-55.228187532548255	5.004529153403474	java.awt.Color[r=0,g=0,b=0]	asm_1_BR	
asm_2_TL	2332.295541882442	2666.6545455758314	-55.23467481036989	5.002092916230784	java.awt.Color[r=0,g=0,b=0]	asm_2_TL	
asm_2_BR	2365.9210069002147	2699.4227427835067	-55.23165090211071	4.999121744125931	java.awt.Color[r=0,g=0,b=0]	asm_2_BR	
asm_3_TL	2353.521359582941	2644.157242353809	-55.23275551353134	5.00412202732752	java.awt.Color[r=0,g=0,b=0]	asm_3_TL	
asm_3_BR	2422.698586336861	2664.6351289608865	-55.22652308778849	5.002253498947509	java.awt.Color[r=0,g=0,b=0]	asm_3_BR	
asm_4_TL	2284.984354660148	2708.6363466794937	-55.23895080313261	4.998308269017069	java.awt.Color[r=0,g=0,b=0]	asm_4_TL	
asm_4_BR	2349.3726523750956	2730.2424385068007	-55.23315045432173	4.99633896042953	java.awt.Color[r=0,g=0,b=0]	asm_4_BR	
asm_5_TL	2281.795940940501	2729.64204320556	-55.239243359337905	4.996409638021374	java.awt.Color[r=0,g=0,b=0]	asm_5_TL	
asm_5_BR	2305.1511925902596	2758.409400787823	-55.237144483012855	4.993802745465724	java.awt.Color[r=0,g=0,b=0]	asm_5_BR	
asm_6_TL	2114.43156764569	2806.4875308928313	-55.254352224490425	4.9895013065264475	java.awt.Color[r=0,g=0,b=0]	asm_6_TL	
asm_6_BR	2160.383566843113	2822.658842762663	-55.250212845965564	4.988028007967432	java.awt.Color[r=0,g=0,b=0]	asm_6_BR	
asm_7_TL	1990.822235613843	2703.6284993495647	-55.26547302956946	4.998831818489059	java.awt.Color[r=0,g=0,b=0]	asm_7_TL	
